"id","approval_notes","approved","event_duration","event_quote","event_quote_location","event_source_info","event_time_description","file_urls","firstname","last_updated","start_day","start_month","start_year","summary","surname","timestamp","username","file_id","group_id","text_positions","ingested_by","state","nearest_grid_id"
537,"","yes",0,"Sobre la carestía que los especuladores ocasionaban en tiempos de sequía. Se mencionan los beneficios que proporcionaba el establecimiento de la alhóndiga. “Algunos años que ha habido en esta tierra esterilidad de pan me he visto con trabajo por lo mucho que se siente aquí el hambre, y probando algunos remedios ninguno ha venido a ser tan eficaz como el de tener alhóndiga, porque muchas personas que tenían posible y son algunas de bonete atravesaban todo lo más que el ruin año había dejado y lo revendían a excesivos precios en harto daño de la república y más de la gente miserable. Al fin, después que se supo di orden en la alhóndiga y se atajó a los regatones la ocasión de su codicia desordenada, parece que ha sido de algún efecto para no sentirse tanto los años estériles y así conviene que no deje de ir adelante.” Hanke, 1976, 209","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 260","","","Bradley",2025-04-13 02:26:01.899,0,0,1578,"Alhóndigas","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Ciudad de México",139
1856,"","yes",0,"“Las medidas adoptadas por el virrey y la administración municipal son un testimonio más de la continuada y seria escasez de alimentos y provisiones. En noviembre de 1578, dos años después del primer brote de la epidemia de 1576, el virrey Enríquez ordenó la creación de la alhóndiga en la ciudad de México, que compraría grano para venderlo a los consumidores a precio fijo cuando escaseara y los precios se elevaran demasiado.” Borah, 1982:50","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 348","","","Bradley",2025-04-13 02:26:11.391,0,0,1578,"Alhóndigas","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Ciudad de México",139
678,"","yes",0,"“La carestía siguió a la peste, consecuencia precisa de la falta de brazos que durante ella sufrió la agricultura. El virrey, compadecido de los males que habían aquejado a los humildes indios, les eximió del pago de tributo.” Zamacois, 1878:176","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 347","","","Bradley",2025-04-13 02:26:02.964,0,0,1578,"Cosechas escasas","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Ciudad de México",139
402,"","yes",0,"“En [21 de] noviembre de 1578, una nueva ordenanza, todavía más estricta, prohibía la acumulación y la compra para revender trigo, avena y cebada, según la ordenanza escaseaba nuevamente el maíz.” AGNM, Reales cédulas duplicados, v. 46, ff. 115-120; Borah, 1982:52","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 349","","","Bradley",2025-04-13 02:26:00.91,0,0,1578,"Escasez","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Ciudad de México",139
3112,"","yes",0,"“Carestía y lluvias perjudiciales, cocoliztli.” Espinosa et al., 1987:83","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 350","","","Bradley",2025-04-13 02:26:20.191,0,0,1578,"Carestí­a","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"México",139
1427,"","yes",0,"“Contrasta la conducta de estos virreyes con la de don Martín Enríquez, que en la carestía que hubo en los años de 1578 y 1579, llamó a Jerónimo López, regidor, y le dio un libramiento para que los oficiales reales, del fondo de la avería, le entregasen 8 000 pesos con que comprasen maíz y trigo para provisión de la ciudad.” Marroquí, 1969, t. I:298","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 352","","","Bradley",2025-04-13 02:26:08.443,0,0,1578,"Carestí­a","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Ciudad de México",139
2118,"","yes",0,"“Y es cosa notoria que, en la pestilencia general que hubo desde el año pasado de 76 hasta el de 80, se llevó, de tres partes de la gente, las dos, a lo menos en esta ciudad y de la de sus sujetos, que se sabe, por el número y copia que de ellos antes había, y por la cuenta que después acá se ha hecho de su cantidad, por mandado de la Real Audiencia, para hacer las tasaciones de su tributo.” “RG Tezcoco.” III, 1986:99","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 321","","","Bradley",2025-04-13 02:26:13.133,0,0,1578,"Epidemia","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"México",159
1111,"","yes",0,"“Y al presente es casi lo mismo, aunque padecen otras como la gente española, como es dolor de costado y postemas y fiebres y tabardetes, lo cual por nuestros grandes pecados, ha permitido Dios que dure, desde el año pasado de 76 hasta ahora, que no cesa. Y cada día se van acabando y consumiendo sin remedio, porque es el mal tan recio, que los arrebata en tres, cuatro días.” “RG Tesquixquiac.” II, 1986:195","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 320","","","Bradley",2025-04-13 02:26:06.001,0,0,1578,"Epidemia","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"México",158
2974,"","yes",0,"“Gran epidemia de matlazahuatl en 1576-1579 […] La escasez de mano de obra fue determinante en la continua escasez de alimentos y provisiones […] Gran epidemia: mortandad en México y Centroamérica, crisis demográfica para indígenas y económicas para españoles hasta 1581.” Aubry, 1991:104; Borah, 1982:41, 55","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 319","","","Bradley",2025-04-13 02:26:19.069,0,0,1578,"Crisis","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Ciudad de México",139
914,"","yes",0,"Severas inundaciones en el valle de México ocurrieron entre diciembre y enero. Sanders, 1970:37","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 365","","","Bradley",2025-04-13 02:26:04.628,0,0,1579,"Inundación","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"México",139
