"id","approval_notes","approved","event_duration","event_quote","event_quote_location","event_source_info","event_time_description","file_urls","firstname","last_updated","start_day","start_month","start_year","summary","surname","timestamp","username","file_id","group_id","text_positions","ingested_by","state","nearest_grid_id"
1012,"","yes",0,"“Se inundó Tlaxcala y Atlihuetzian, invadió el grande cocoliztli en tiempo del hambre.” Anales de Puebla y Tlaxcala, núm. 1, 3a. pte.:358","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 355","","","Bradley",2025-04-13 02:26:05.308,0,0,1579,"Epidemia","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Puebla",123
1012,"","yes",0,"“Se inundó Tlaxcala y Atlihuetzian, invadió el grande cocoliztli en tiempo del hambre.” Anales de Puebla y Tlaxcala, núm. 1, 3a. pte.:358","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 355","","","Bradley",2025-04-13 02:26:05.308,0,0,1579,"Epidemia","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Tlaxcala",141
3365,"","yes",0," huey atl quiquix tlaxcallan atlihuetzia peuh cocoliztli ipan mayanaliztli","tbd","Anales Antiguas de México 18.3: PART 3 775","","","Bradley",2025-04-13 02:26:21.874,0,0,1579,"Flooding","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Tlaxcala",141
87,"","yes",0,"6 tecpatl 1579 nican mochiuh huey cocoliztliça yehuan tetlacualteoya teopixque in nohuiyampa","tbd","Anales Antiguas de México 16.1: 719","","","Bradley",2025-04-13 02:25:58.498,0,0,1579,"Epidemic","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Tlaxcala",141
2106,"","yes",0,"HUEY ATLI QUIQUIS TLAX'A ATLIHUETZYA; PEUHQUI COCOLISTLI YPAN MAYANALISTLI","tbd","Townsend, Anales de Tlaxcala (unpublished ms): 4","","","Bradley",2025-04-13 02:26:13.052,0,0,1579,"Flooding","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Tlaxcala",141
2106,"","yes",0,"HUEY ATLI QUIQUIS TLAX'A ATLIHUETZYA; PEUHQUI COCOLISTLI YPAN MAYANALISTLI","tbd","Townsend, Anales de Tlaxcala (unpublished ms): 4","","","Bradley",2025-04-13 02:26:13.052,0,0,1579,"Flooding","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Tlaxcala",141
3365,"","yes",0," huey atl quiquix tlaxcallan atlihuetzia peuh cocoliztli ipan mayanaliztli","tbd","Anales Antiguas de México 18.3: PART 3 775","","","Bradley",2025-04-13 02:26:21.874,0,0,1579,"Flooding","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Tlaxcala",141
2293,"","yes",0,"“Este dicho pueblo y su comarca tienen pocos indios, hasta 2 000 poco más o menos, y que en los tiempos pasados, había entre ellos mucha suma y cantidad de indios […] y que [la] falta de ellos lo ha causado la gran enfermedad y pestilencia, que entre ellos llaman cocoliztli que les ha venido y tienen de presente, de que mueren seis, ocho y 10 cada día.” “RG Ocopetlayuca.” II, 1986:84-87","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 380","","","Bradley",2025-04-13 02:26:14.313,0,0,1580,"Epidemia","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Puebla",142
644,"","yes",0,"EVENIDA GRANDE DEL RIO ZAHUAPAN","tbd","Buenaventura Zapata y Mendoza, Historia Cronológica de la Noble Ciudad de Tlaxcala (1995): 173","","","Bradley",2025-04-13 02:26:02.707,1,4,1580,"Flooding","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Tlaxcala",141
1074,"","yes",0,"“Gobernador, don Mateo de Barrio. Y entonces llegó la avenida grande del río Zahuatl. Corrió por el camino, por atrás de la casa de Oztoquapanecatl. Fue el viernes por la noche, un día después de la Pascua de Resurrección. - Gobernador don Matheo de Barrios yhuan yquac huey Zahuatl quizaco hotli quitocac ycalcuitlapan oztocuapanecatl ypan biernes yohuac yuh yalhua yn inetlecahuilitzin pasqua.” Zapata y Mendoza, 1995:173","tbd","García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 370","","","Bradley",2025-04-13 02:26:05.748,0,0,1580,"Avenida","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Tlaxcala",141
2756,"","yes",0,"""Esterío sale algunos años de madre, que hace notable daño a los naturales en que les lleva sus casas y anega sus mieses, como hizo este presente año, que salió de madre y llevó más de quinientas casas,y se perdieron más de cincuenta mil pesos de grana.""","tbd","Muñoz Camargo, Desripción de la Ciudad y Provinicia de Tlaxcala (2000): 42","","","Bradley",2025-04-13 02:26:17.619,1,5,1580,"Flooding","Skopyk",2023-01-01,"bds134",NA,NA,NA,NA,"Tlaxcala",141
